BILL NUMBER,PROTECTION,ISSUE TYPE,STATUS
SB 77,N,Restricting Student & Educator Rights,Introduced
SB 12,N,Free Speech & Expression Ban,In Court
SB 17,N,Other Anti-LGBTQ Bills,Passed Into Law
SB 15,N,Restricting Student & Educator Rights,Passed Into Law
SB 14,N,Healthcare Restrictions,In Court
HB 319,N,Weakening Civil Rights Laws,Defeated
HB 1266,N,Free Speech & Expression Ban,Defeated
SB 393,N,Restricting Student & Educator Rights,Defeated
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
