BILL,AFFILIATION,FIRST NAME,LAST NAME,AGE,SALARY,DISTRICT,CHAMBER,YEARS SERVED,SESSIONS SERVED,PARTY,HOME CITY,HOME COUNTY,COUNTY REP,LGBTQ VOTE,LGBTQ CAUCUS,VOTER APPROVAL,*X means uncontested election
SB 77,Author,Brandon,Creighton,54,"$7,200.00",4,S,16,6,R,Conroe,Montgomery,"Chambers, Galveston, Harris, Jefferson, Montgomery",F,N,69.90%,
SB 12,Author,Bryan,Hughes,55,"$7,200.00",1,S,20,10,R,Mineola,Wood,"Bowie, Camp, Cass, Delta, Fannin, Franklin, Gregg, Harrison, Hopkins, Lamar, Marion, Morris, Panola, Red River, Rusk, Smith, Titus, Upshur, Wood",F,N,X,
SB 12,Coauthor,Paul,Bettencourt,66,"$7,200.00",7,S,8,5,R,Houston,Harris,"Harris, Montgomery",F,N,63.40%,
SB 12,Coauthor,Brian,Birdwell,63,"$7,200.00",22,S,13,8,R,Granbury,Hood,"Bosque, Comanche, Eastland, Ellis, Erath, Falls, Hamilton, Hill, Hood, McLennan, Somervall, Tarrant",F,N,74.30%,
SB 12,Coauthor,Brandon,Creighton,54,"$7,200.00",4,S,16,6,R,Conroe,Montgomery,"Chambers, Galveston, Harris, Jefferson, Montgomery",F,N,69.90%,
SB 12,Coauthor,Lois,Kolkhorst,60,"$7,200.00",18,S,22,11,R,Brenham,Washington,"Aransas, Austin, Burleson, Calhoun, Colorado, DeWitt, Fayette, Fort Bend, Goliad, Gonzales, Harris, Jackson, Lavaca, Lee, Matagorda, Nueces, Refugio, Victoria, Waller, Washington, Wharton",F,N,66.20%,
SB 12,Coauthor,Angela,Paxton,62,"$7,200.00",8,S,4,2,R,McKinney,Collin,"Collin, Hunt, Rains",F,N,59.40%,
SB 12,Coauthor,Drew,Springer,58,"$7,200.00",30,S,9,5,R,Muenster,Cooke,"Archer, Clay, Collin, Cooke, Denton, Grayson, Jack, Montague, Parker, Wichita, Young",F,N,85.50%,
SB 12,Sponsor,Matt,Shaheen,59,"$7,200.00",66,H,8,5,R,Plano,Collin,Collin,F,N,61.20%,
SB 12,Joint Sponsor,Will,Metcalf,40,"$7,200.00",16,H,9,5,R,Conroe,Montgomery,Montgomery,F,N,80.40%,
SB 12,Joint Sponsor,Dustin,Burrows,46,"$7,200.00",83,H,8,4,R,Lubbock,Lubbock,"Borden, Crosby, Dickens, Floyd, Garza, Kent, Lubbock, Lynn, Mitchell, Scurry, Terry",F,N,X,
SB 12,Joint Sponsor,Caroline,Harris,31,"$7,200.00",52,H,1,1,R,Round Rock,Williamson,Williamson,F,N,56.20%,
SB 12,Joint Sponsor,Carrie,Isaac,54,,73,H,1,1,R,Wimberley,Hays,"Comal, Hays",F,N,71.50%,
SB 17,Author,Brandon,Creighton,54,"$7,200.00",4,S,16,6,R,Conroe,Montgomery,"Chambers, Galveston, Harris, Jefferson, Montgomery",F,N,69.90%,
SB 17,Author,Donna,Campbell,70,"$7,200.00",25,S,10,5,R,New Braunfels,Guadalupe,"Bexar, Blanco, Comal, Guadalupe, Hays, Kendall, Travis",F,N,63.60%,
SB 17,Author,Phil,King,69,"$7,200.00",10,S,24,12,R,Weatherford,Parker,"Brown, Callahan, Johnson, Palo, Pinto, Parker, Shackelford, Stephens, Tarrant",F,N,61.70%,
SB 17,Author,Lois,Kolkhorst,60,"$7,200.00",18,S,22,11,R,Brenham,Washington,"Aransas, Austin, Burleson, Calhoun, Colorado, DeWitt, Fayette, Fort Bend, Goliad, Gonzales, Harris, Jackson, Lavaca, Lee, Matagorda, Nueces, Refugio, Victoria, Waller, Washington, Wharton",F,N,66.20%,
SB 17,Author,Mayes,Middleton,43,"$7,200.00",11,S,4,2,R,Galveston,Galveston,"Brazoria, Galveston, Harris",F,N,X,
SB 17,Author,Tan,Parker,53,"$7,200.00",12,S,16,8,R,Flower Mound,Denton,"Dallas, Denton, Tarrant, Wise",F,N,61.40%,
