BILL_NUM,AUTHOR,PROTECTION,ISSUE_TYPE,STATUS
SB 393,HALL,N,EDUCATION,DEFEATED
HB 1266,SCHATZLINE,N,FREE_SPEECH,DEFEATED
HB 319,OLIVERSON,N,CIVIL_RIGHTS,DEFEATED
HB 436,PATTERSON,N,HEALTHCARE,DEFEATED
SB 476,HUGHES,N,FREE_SPEECH,DEFEATED
HB 23,"SWANSON, SLAWSON, KLICK, BONNEN, OLIVERSON",N,EDUCATION,DEFEATED
HB 643,PATTERSON,N,FREE_SPEECH,DEFEATED
HB 708,SHAHEEN,N,FREE_SPEECH,DEFEATED
SB 162,PERRY,N,OTHER,DEFEATED
HB 631,TOTH,N,EDUCATION,DEFEATED
HB 1532,SCHATZLINE,N,HEALTHCARE,DEFEATED
HB 1541,TOTH,N,EDUCATION,DEFEATED
HB 1155,PATTERSON,N,EDUCATION,DEFEATED
HB 42,SLATON,N,HEALTHCARE,DEFEATED
SB 250,"HALL, CAMPBELL, PERRY",N,HEALTHCARE,DEFEATED
HB 41,TOTH,N,HEALTHCARE,DEFEATED
HB 122,TOTH,N,HEALTHCARE,DEFEATED
SB 249,"HALL, CAMPBELL, PERRY",N,HEALTHCARE,DEFEATED
SB 625,CAMPBELL,N,HEALTHCARE,LAW_PASSED
SB 649,MIDDLETON,N,EDUCATION,DEFEATED
HB 1686,"OLIVERSON, KLICK, METCALF, TOTH, GEREN",N,HEALTHCARE,LAW_PASSED
HB 1752,TOTH,N,HEALTHCARE,DEFEATED
HB 1952,"TOTH, ANDERSON",N,OTHER,DEFEATED
SB 1029,HALL,N,HEALTHCARE,DEFEATED
SB 1082,HALL,N,OTHER,DEFEATED
HB 3164,"TEPPER, NOBLE, JETTON, PATTERSON, CAPRIGLIONE",N,OTHER,DEFEATED
HB 2862,SWANSON,N,OTHER,DEFEATED
HB 3147,"SWANSON, SLAWSON, HULL, PATTERSON, HEFNER",N,OTHER,DEFEATED
HB 3213,SWANSON,N,OTHER,DEFEATED
HB 3883,"TROXCLAIR, LEO_WILSON, SLAWSON, KLICK, NOBLE",N,OTHER,DEFEATED
HB 3902,HARRISON,N,OTHER,DEFEATED
SB 14,"CAMPBELL, BETTENCOURT, HALL, HUGHES, KOLKHORST, MIDDLETON, PARKER, PAXTON, PERRY, SPRINGER",N,HEALTHCARE,IN_COURT
HB 4129,SLATON,N,FREE_SPEECH,DEFEATED
HB 4624,LEACH,N,HEALTHCARE,DEFEATED
SB 15,"MIDDLETON, BETTENCOURT, CAMPBELL, CREIGHTON, FLORES, HALL, HANCOCK, HUFFMAN, HUGHES, KING, KOLKHORST, NICHOLS, PARKER, PAXTON, PERRY, SCHWERTNER, SPARKS, SPRINGER",N,EDUCATION,LAW_PASSED
HB 4534,SCHATZLINE,N,EDUCATION,DEFEATED
HB 4378,TOTH,N,FREE_SPEECH,DEFEATED
HB 4754,TINDERHOLT,N,HEALTHCARE,DEFEATED
SB 8,"CREIGHTON, BETTENCOURT, CAMPBELL, KING, MIDDLETON, PARKER, PAXTON, SCHWERTNER, SPRINGER",N,EDUCATION,DEFEATED
HB 5236,TOTH,N,"EDUCATION, OTHER",DEFEATED
HB 4961,PATTERSON,N,EDUCATION,DEFEATED
SB 2199,HALL,N,CIVIL_RIGHTS,DEFEATED
SB 17,"CREIGHTON, CAMPBELL, KING, KOLKHORST, MIDDLETON, PARKER, PAXTON, SCHWERTNER, SPRINGER",N,OTHER,DEFEATED
SB 2281,MIDDLETON,N,FREE_SPEECH,DEFEATED
HB 5256,TOTH,N,EDUCATION,DEFEATED
HB 2722,SCHAEFER,N,EDUCATION,DEFEATED
HB 5261,FRANK,N,EDUCATION,DEFEATED
HB 5127,"SHAHEEN, BONNEN",N,OTHER,DEFEATED
HB 5235,TOTH,N,"EDUCATION, OTHER",DEFEATED
SB 1443,HALL,N,EDUCATION,DEFEATED
HB 2659,LEO-WILSON,N,"EDUCATION, CIVIL_RIGHTS",DEFEATED
HB 3082,HAYES,N,CIVIL_RIGHTS,DEFEATED
SB 1601,HUGHES,N,FREE_SPEECH,DEFEATED
SB 12,HUGHES,N,FREE_SPEECH,IN_COURT
SB 77,CREIGHTON,N,EDUCATION,INTRODUCED
